key,source,translation
"form.treatments.bridges","Dental Bridges",""
"form.treatments.root_canal","Root Canal Treatment",""
"form.treatments.other","Other Dental Work",""
"form.otherTreatment","Specify Other Treatment",""
"form.dates","Preferred Travel Dates",""
"form.fromDate","From date",""
"form.toDate","To date",""
"form.budget","Estimated Budget (€)",""
"form.accommodation","I would like help with hotel accommodation and transfers",""
"form.notes","Additional Details or Questions",""
"form.notesPlaceholder","Tell us more about what you're looking for...",""
"form.consent","I consent to being contacted about my inquiry and understand my data will be processed according to the Privacy Policy.",""
"form.submit","Request My Free Quote",""
"form.submitting","Submitting...",""
"form.expectations.title","What to expect after submitting:",""
"form.expectations.response","Response within 24 hours",""
"form.expectations.options","Three custom-matched provider options",""
"form.expectations.pricing","Clear, all-inclusive pricing",""
"form.expectations.consultation","Follow-up consultation with our team",""
"form.privacy.title","Your Privacy Matters",""
"form.privacy.description","All information you provide is kept strictly confidential and is only shared with medical providers if you choose to proceed.",""
"form.success.title","Thank You!",""
"form.success.message","We'll get back to you within 24 hours with your personalized dental treatment options.",""
"form.success.toastTitle","Dental quote request submitted",""
"form.success.toastMessage","We'll get back to you within 24 hours with your personalized dental treatment options.",""
"form.error.title","Error submitting request",""
"form.error.message","There was an error sending your request. Please try again.",""
"services.title","Our Dental Treatment Services",""
"services.subtitle","We help you find the best dental care options in Istanbul",""
"services.veneers.title","Dental Veneers",""
"services.veneers.description","Transform your smile with custom-made thin shells that cover the front surface of teeth.",""
"services.veneers.feature1","Premium porcelain material",""
"services.veneers.feature2","Natural appearance",""
"services.implants.title","Dental Implants",""
"services.implants.description","Replace missing teeth with permanent, natural-looking implants that function like real teeth.",""
"services.implants.feature1","Titanium root fixtures",""
"services.implants.feature2","Lifetime guarantee",""
"services.crowns.title","Dental Crowns",""
"services.crowns.description","Restore damaged teeth with custom-fitted dental crowns that improve function and appearance.",""
"services.crowns.feature1","Zirconia or porcelain",""
"services.crowns.feature2","Precise digital fit",""
"services.hollywood.title","Hollywood Smile",""
"services.hollywood.description","Get that perfect celebrity smile with a complete makeover using veneers and whitening.",""
"services.hollywood.feature1","Complete smile design",""
"services.hollywood.feature2","Dramatic transformation",""
"services.orthodontics.title","Orthodontics",""
"services.orthodontics.description","Straighten your teeth with modern orthodontic solutions, including invisible aligners.",""
"services.orthodontics.feature1","Invisible aligner options",""
"services.orthodontics.feature2","Short treatment time",""
"services.package.title","Full Packages",""
"services.package.description","All-inclusive treatment packages with accommodation and airport transfers.",""
"services.package.feature1","Comprehensive care",""
"services.package.feature2","VIP transportation",""
"howItWorks.title","How Istanbul Dental Smile Works",""
"howItWorks.subtitle","Simple process to find your perfect dental treatment in Istanbul",""
"howItWorks.step1.title","Request a Quote",""
"howItWorks.step1.description","Fill out our simple form with your dental treatment needs and preferences.",""
"howItWorks.step2.title","Compare Options",""
"howItWorks.step2.description","Receive personalized treatment plans and quotes from our network of top clinics.",""
"howItWorks.step3.title","Book Your Treatment",""
"howItWorks.step3.description","Select your preferred clinic and let us handle all the arrangements for your visit.",""
"howItWorks.step4.title","Enjoy Istanbul",""
"howItWorks.step4.description","Experience quality dental care while exploring the beauty of Istanbul.",""
"whyUs.title","Why Choose Istanbul Dental Smile",""
"whyUs.subtitle","We make dental tourism simple, reliable, and affordable",""
"whyUs.quality.title","Quality Assurance",""
"whyUs.quality.description","All our partner clinics are vetted for excellence, modern equipment, and strict hygiene standards.",""
"whyUs.savings.title","Significant Savings",""
"whyUs.savings.description","Save up to 70% compared to Western European and UK prices without compromising on quality.",""
"whyUs.support.title","Multilingual Support",""
"whyUs.support.description","Our team speaks your language and provides assistance throughout your entire treatment journey.",""
"whyUs.convenience.title","All-Inclusive Packages",""
"whyUs.convenience.description","We arrange everything from airport transfers to accommodation and city tours.",""
"testimonials.title","Success Stories",""
"testimonials.subtitle","Hear from our satisfied clients about their dental treatment experience in Istanbul",""
"faq.title","Frequently Asked Questions",""
"faq.subtitle","Find answers to common questions about dental treatments in Istanbul",""
"contact.title","Contact Us",""
"contact.subtitle","Have questions? Our dental concierge team is here to help",""
"contact.whatsapp","Chat on WhatsApp",""
"contact.phone","Call Us",""
"contact.message","Hello, I'm interested in dental treatment in Istanbul. Can you provide more information?",""
"footer.rights","© 2024 Istanbul Dental Smile. All rights reserved.",""
"footer.privacy","Privacy Policy",""
"footer.terms","Terms of Service",""
"pricing.pricing_title","Dental Treatment Pricing",""
"pricing.pricing_description","Get accurate cost estimates for your dental treatments in Istanbul. Select the treatments you're interested in, and we'll calculate the total price in both GBP and USD.",""
"pricing.calculate_price","Calculate Your Treatment Cost",""
"pricing.treatment_selection","Select Your Treatments",""
"pricing.select_treatments_description","Choose from our list of available treatments and specify the quantity needed",""
"pricing.name","Your Name",""
"pricing.enter_name","Enter your full name",""
"pricing.email","Your Email",""
"pricing.enter_email","Enter your email address",""
"pricing.treatments","Treatments",""
"pricing.add_treatment","Add Another Treatment",""
"pricing.treatment_type","Treatment",""
"pricing.quantity","Quantity",""
"pricing.select_treatment","Select a treatment",""
"pricing.calculate_quote","Calculate My Quote",""
"pricing.quote_summary","Quote Summary",""
"pricing.quote_summary_description","Personalized cost estimate based on your selections",""
"pricing.no_quote_generated","No quote generated yet",""
"pricing.select_treatments_to_generate","Please select treatments and click 'Calculate My Quote'",""
"pricing.price","Price",""
"pricing.qty","Qty",""
"pricing.subtotal","Subtotal",""
"pricing.total","Total",""
"pricing.total_usd","Total (USD)",""
"pricing.guarantee","Guarantee",""
"pricing.quote_validity_note","This quote is valid for 30 days. Prices are approximate and subject to confirmation by the clinic.",""
"pricing.how_it_works","How it works",""
"pricing.step_select_treatments","Select your desired treatments from the dropdown",""
"pricing.step_enter_details","Enter your name, email and phone number",""
"pricing.step_calculate_quote","Click ""Calculate Quote"" to see pricing",""
"pricing.all_treatments_include","All treatments include consultation, examination, and post-treatment care.",""
"pricing.get_accurate_quote_title","How to Get The Most Accurate Quote",""
"pricing.sample_quote_title","Sample Quote",""
"pricing.sample_quote_explanation","Here's an example of what your quote will look like, showing different treatment combinations with estimated costs and options from our partner clinics.",""
"pricing.popular_treatments","Popular Treatments",""
"pricing.recommended_combinations","Recommended Combinations",""
"pricing.simple_combination","Basic Package",""
"pricing.medium_combination","Comprehensive Package",""
"pricing.advanced_combination","Premium Package",""
"pricing.flight_cost_example","Sample Flight Cost",""
"pricing.flight_cost_note","Average round-trip from London to Istanbul",""
"pricing.uk_savings","Average savings compared to UK prices",""
"pricing.uk_savings_note","Based on UK private dental pricing surveys",""
"pricing.reassurance_message","Remember — your quote today gives you a clear guide on treatment pricing. Your final treatment plan will be tailored after your X-rays & consultation with our partner clinics however you will have the price list for your preferred clinic prior to the consultation to refer to.",""
"pricing.learn_more_button","Learn More About How We Quote",""
"pricing.implant_tooltip","Clinics use trusted implant brands for durability & patient safety. If you have a brand preference, let us know — we'll match you where possible.",""
"pricing.veneer_tooltip","Veneers come in various materials — chosen for beauty and long-lasting quality. Your clinic will guide you on the best choice for your smile.",""
"pricing.crown_tooltip","Crowns protect your teeth — clinics use brands known for strength & fit. Cosmetic preferences can be discussed during your consultation.",""
"pricing.why_choose_istanbul","Why our patients choose Istanbul for dental treatment",""
"pricing.benefit_savings","Average savings compared to UK prices",""
"pricing.benefit_quality","Clinics with highest quality standards",""
"pricing.benefit_support","Support throughout your treatment",""
"pricing.benefit_guarantee","Satisfaction guarantee",""
"pricing.download_quote","Download Quote",""
"pricing.patient_information","Patient Information",""
"pricing.travel_information","Travel Information",""
"pricing.travel_info_tooltip","Providing travel details helps us arrange your stay",""
"pricing.travel_month","Travel Month",""
"pricing.select_month","Select month",""
"pricing.departure_city","Departure City",""
"pricing.select_city","Select city",""
"pricing.treatment","Treatment",""
"pricing.our_patients_save","Our patients save an average of",""
"pricing.frequently_asked_questions","Frequently Asked Questions About Pricing",""
"pricing.pricing_faq_1_question","Why are dental treatments so much cheaper in Istanbul?",""
"pricing.pricing_faq_1_answer","Dental treatments in Istanbul cost significantly less due to lower operational costs, favorable exchange rates, and government incentives for healthcare tourism, while maintaining world-class quality and using the same premium materials and technology as Western clinics.",""
"pricing.pricing_faq_2_question","Are there any hidden costs I should be aware of?",""
"pricing.pricing_faq_2_answer","No, the prices shown include the complete treatment cost. However, additional procedures may be recommended by the dentist after your initial examination if medically necessary. These would be discussed with you before proceeding.",""
"pricing.pricing_faq_3_question","Do these prices include guarantees or warranty?",""
"pricing.pricing_faq_3_answer","Yes, all treatments come with guarantees as indicated in the quote. These guarantees are honored internationally, and we work only with clinics that stand behind their work.",""
"pricing.pricing_faq_4_question","How do I pay for my treatment?",""
"pricing.pricing_faq_4_answer","You can pay directly at the clinic using credit card or cash. Most clinics also accept bank transfers. No upfront payment is required to secure your appointment through Istanbul Dental Smile.",""
"blog.title","Dental Treatment Blog",""
"blog.subtitle","Expert insights and guides to dental treatments in Istanbul",""
"blog.featuredPost","Featured Article",""
"blog.latestPosts","Latest Articles",""
"blog.readMore","Read more",""
"blog.writtenBy","Written by",""
"blog.relatedPosts","Related Articles",""
"blog.categories.all","All",""
"blog.categories.dentalTourism","Dental Tourism",""
"blog.categories.treatments","Treatments",""
"blog.categories.travel","Travel",""
"blog.ebook.title","10 Reasons Why Istanbul For Dental Treatment",""
"blog.ebook.subtitle","Free Expert Guide",""
"blog.ebook.description","Get our comprehensive guide explaining why Istanbul has become the world's leading destination for affordable, high-quality dental care.",""
"blog.ebook.benefit1","Discover potential cost savings of 50-70%",""
"blog.ebook.benefit2","Learn what makes Turkish dentistry world-class",""
"blog.ebook.benefit3","Get practical tips for planning your dental trip",""
"blog.ebook.button","Download Free Guide",""
"blog.ebook.downloadTitle","Get Your Free Dental Tourism Guide",""
"blog.ebook.downloadDescription","Enter your details below to receive our comprehensive guide to dental treatment in Istanbul.",""
"blog.ebook.consent","I agree to receive my free ebook and occasional updates about dental treatment options.",""
"blog.ebook.submitButton","Send Me The Free Guide",""
"blog.ebook.emailSubject","Your Free Guide: 10 Reasons Why Istanbul For Dental Treatment",""
"blog.ebook.emailMessage","Thank you for requesting our free dental tourism guide. We're preparing to send it to your inbox shortly.",""
"blog.ebook.success.title","Guide Sent Successfully!",""
"blog.ebook.success.message","We've sent your free guide to your email inbox.",""
"blog.ebook.success.checkInbox","If you don't see it, please check your spam/junk folder.",""
"blog.ebook.error.title","Something Went Wrong",""
"blog.ebook.error.message","We couldn't process your request. Please try again or contact us directly.",""
"team.title","Meet Our Team",""
"team.subtitle","Our experienced team is dedicated to providing exceptional dental tourism experiences",""
"team.members.raj.name","Raj Singh",""
"team.members.raj.role","Founder & CEO",""
"team.members.raj.bio","Raj Singh founded Istanbul Dental Smile after his own transformative dental tourism experience in Istanbul. With over 10 years in healthcare management, Raj combines his business expertise with personal passion to provide exceptional dental tourism services.",""
"team.members.destina.name","Destina Yasar",""
"team.members.destina.role","Chief Patient Coordinator",""
"team.members.destina.bio","Destina Yasar oversees all patient coordination at Istanbul Dental Smile, ensuring seamless experiences from initial inquiry to post-treatment care. Born and raised in Istanbul, Destina brings invaluable local knowledge and cultural understanding to the team.",""
"team.values.title","Our Core Values",""
"team.values.subtitle","These principles guide everything we do at Istanbul Dental Smile",""
"team.values.trust.title","Trust & Transparency",""
"team.values.trust.description","We provide complete transparency in pricing, treatment options, and clinic credentials, ensuring you can make informed decisions with confidence.",""
"team.values.quality.title","Quality Assurance",""
"team.values.quality.description","We partner only with clinics that meet our rigorous standards for facilities, hygiene, technology, and patient outcomes.",""
"team.values.care.title","Personalized Care",""
"team.values.care.description","Each patient receives a customized experience tailored to their dental needs, budget, travel preferences, and cultural background.",""
"team.cta.title","Let's Start Your Dental Journey Together",""
"team.cta.subtitle","Our team is ready to answer your questions and help you plan your dental treatment in Istanbul.",""
"team.cta.quote_button","Get a Free Quote",""
"team.cta.contact_button","Contact Us",""
